Cluster_code,URBAN_RURAC254,fidN200_A,hv270_1_poorest,hv270_2_poor,hv270_3_middle,hv270_4_rich,hv270_5_richest,household_total,mean_score270_comb_R_U,mean270_R_U_separated,median_score_comb_R_U_270,median270a_U_R_separated
TZ001,R,45842,4.00,11.00,6.00,1.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ002,R,45843,3.00,5.00,12.00,1.00,0.00,21.00,3.00,3.00,3.00,3.00
TZ003,U,45844,2.00,1.00,4.00,8.00,7.00,22.00,4.00,2.00,4.00,1.00
TZ004,R,45845,1.00,4.00,6.00,9.00,0.00,20.00,3.00,4.00,3.00,4.00
TZ005,R,45846,10.00,3.00,7.00,1.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ006,R,45847,15.00,2.00,1.00,1.00,0.00,19.00,1.00,2.00,1.00,1.00
TZ007,R,45848,1.00,13.00,3.00,3.00,1.00,21.00,3.00,3.00,2.00,3.00
TZ008,R,45849,1.00,3.00,13.00,3.00,1.00,21.00,3.00,4.00,3.00,4.00
TZ009,R,45850,8.00,5.00,6.00,1.00,0.00,20.00,2.00,3.00,2.00,3.00
TZ010,R,45851,13.00,4.00,0.00,2.00,0.00,19.00,2.00,2.00,1.00,1.00
TZ011,U,45852,3.00,3.00,5.00,8.00,3.00,22.00,3.00,1.00,4.00,1.00
TZ012,R,45853,14.00,3.00,3.00,0.00,0.00,20.00,1.00,2.00,1.00,2.00
TZ013,R,45854,7.00,7.00,6.00,1.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ014,R,45855,0.00,3.00,7.00,11.00,0.00,21.00,3.00,4.00,4.00,5.00
TZ015,U,45856,0.00,0.00,2.00,14.00,6.00,22.00,4.00,2.00,4.00,2.00
TZ016,U,45857,15.00,2.00,2.00,3.00,0.00,22.00,2.00,1.00,1.00,1.00
TZ017,R,45858,3.00,2.00,8.00,9.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ018,R,45859,16.00,4.00,0.00,1.00,1.00,22.00,2.00,2.00,1.00,1.00
TZ019,R,45860,8.00,5.00,0.00,7.00,0.00,20.00,2.00,3.00,2.00,2.00
TZ020,R,45861,1.00,3.00,12.00,4.00,2.00,22.00,3.00,4.00,3.00,4.00
TZ021,U,45862,0.00,0.00,1.00,11.00,9.00,21.00,4.00,3.00,4.00,2.00
TZ022,R,45863,0.00,0.00,3.00,14.00,5.00,22.00,4.00,5.00,4.00,5.00
TZ023,R,45864,0.00,10.00,6.00,4.00,1.00,21.00,3.00,3.00,3.00,3.00
TZ024,R,45865,1.00,6.00,14.00,1.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ025,R,45866,0.00,0.00,4.00,8.00,8.00,20.00,4.00,5.00,4.00,5.00
TZ026,U,45867,0.00,0.00,0.00,4.00,16.00,20.00,5.00,4.00,5.00,4.00
TZ027,U,45868,0.00,0.00,0.00,9.00,13.00,22.00,5.00,3.00,5.00,3.00
TZ028,U,45869,0.00,0.00,1.00,6.00,14.00,21.00,5.00,3.00,5.00,3.00
TZ029,U,45870,0.00,0.00,0.00,3.00,15.00,18.00,5.00,4.00,5.00,4.00
TZ030,U,45871,0.00,0.00,0.00,1.00,20.00,21.00,5.00,5.00,5.00,5.00
TZ031,R,45872,3.00,7.00,9.00,2.00,1.00,22.00,3.00,3.00,3.00,4.00
TZ032,R,45873,1.00,0.00,9.00,11.00,1.00,22.00,4.00,4.00,4.00,5.00
TZ033,U,45874,0.00,0.00,1.00,7.00,12.00,20.00,5.00,3.00,5.00,3.00
TZ034,R,45875,16.00,1.00,2.00,2.00,1.00,22.00,2.00,2.00,1.00,1.00
TZ035,R,45876,19.00,1.00,0.00,0.00,0.00,20.00,1.00,1.00,1.00,1.00
TZ036,R,45877,7.00,10.00,2.00,0.00,0.00,19.00,2.00,2.00,2.00,2.00
TZ037,R,45878,0.00,0.00,0.00,9.00,12.00,21.00,5.00,5.00,5.00,5.00
TZ038,R,45879,5.00,8.00,6.00,2.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ039,R,45880,21.00,0.00,0.00,0.00,0.00,21.00,1.00,1.00,1.00,1.00
TZ040,R,45881,8.00,8.00,4.00,2.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ041,R,45882,0.00,0.00,8.00,12.00,2.00,22.00,4.00,5.00,4.00,5.00
TZ042,R,45883,0.00,3.00,11.00,6.00,0.00,20.00,3.00,4.00,3.00,4.00
TZ043,U,45884,6.00,3.00,7.00,6.00,0.00,22.00,3.00,1.00,3.00,1.00
TZ044,R,45885,2.00,2.00,10.00,7.00,1.00,22.00,3.00,4.00,3.00,4.00
TZ045,R,45886,0.00,0.00,4.00,10.00,8.00,22.00,4.00,5.00,4.00,5.00
TZ046,R,45887,0.00,2.00,5.00,7.00,8.00,22.00,4.00,5.00,4.00,5.00
TZ047,U,45888,0.00,2.00,1.00,11.00,7.00,21.00,4.00,2.00,4.00,2.00
TZ048,R,45889,0.00,0.00,2.00,15.00,4.00,21.00,4.00,5.00,4.00,5.00
TZ049,U,45890,0.00,0.00,1.00,3.00,17.00,21.00,5.00,4.00,5.00,4.00
TZ050,R,45891,0.00,0.00,3.00,13.00,6.00,22.00,4.00,5.00,4.00,5.00
TZ051,R,45892,1.00,1.00,2.00,14.00,4.00,22.00,4.00,5.00,4.00,5.00
TZ052,R,45893,0.00,0.00,0.00,9.00,12.00,21.00,5.00,5.00,5.00,5.00
TZ053,R,45894,0.00,0.00,4.00,15.00,0.00,19.00,4.00,5.00,4.00,5.00
TZ054,R,45895,0.00,1.00,6.00,9.00,6.00,22.00,4.00,5.00,4.00,5.00
TZ055,R,45896,0.00,0.00,1.00,8.00,12.00,21.00,5.00,5.00,5.00,5.00
TZ056,R,45897,0.00,1.00,3.00,10.00,8.00,22.00,4.00,5.00,4.00,5.00
TZ057,R,45898,1.00,5.00,9.00,6.00,1.00,22.00,3.00,4.00,3.00,4.00
TZ058,U,45899,0.00,0.00,0.00,6.00,14.00,20.00,5.00,3.00,5.00,3.00
TZ059,U,45900,0.00,0.00,0.00,4.00,18.00,22.00,5.00,4.00,5.00,4.00
TZ060,U,45901,0.00,0.00,0.00,8.00,13.00,21.00,5.00,3.00,5.00,3.00
TZ061,R,45902,0.00,0.00,6.00,15.00,1.00,22.00,4.00,5.00,4.00,5.00
TZ062,R,45903,0.00,0.00,6.00,7.00,6.00,19.00,4.00,5.00,4.00,5.00
TZ063,R,45904,1.00,7.00,9.00,5.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ064,R,45905,5.00,7.00,5.00,3.00,0.00,20.00,2.00,3.00,2.00,3.00
TZ065,R,45906,3.00,12.00,6.00,1.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ066,R,45907,0.00,7.00,6.00,8.00,1.00,22.00,3.00,4.00,3.00,4.00
TZ067,R,45908,13.00,3.00,4.00,2.00,0.00,22.00,2.00,2.00,1.00,1.00
TZ068,R,45909,0.00,0.00,0.00,3.00,17.00,20.00,5.00,5.00,5.00,5.00
TZ069,R,45910,0.00,3.00,11.00,8.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ070,U,45911,0.00,0.00,0.00,2.00,20.00,22.00,5.00,4.00,5.00,4.00
TZ071,U,45912,2.00,0.00,2.00,9.00,8.00,21.00,4.00,3.00,4.00,2.00
TZ072,U,45913,1.00,2.00,0.00,5.00,12.00,20.00,4.00,3.00,5.00,3.00
TZ073,R,45914,1.00,8.00,7.00,5.00,0.00,21.00,3.00,4.00,3.00,4.00
TZ074,R,45915,1.00,10.00,7.00,2.00,2.00,22.00,3.00,3.00,3.00,3.00
TZ075,R,45916,6.00,8.00,6.00,0.00,0.00,20.00,2.00,3.00,2.00,3.00
TZ076,R,45917,1.00,6.00,13.00,2.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ077,R,45918,11.00,6.00,5.00,0.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ078,R,45919,3.00,7.00,6.00,5.00,1.00,22.00,3.00,3.00,3.00,4.00
TZ079,R,45920,2.00,6.00,7.00,5.00,2.00,22.00,3.00,4.00,3.00,4.00
TZ080,U,45921,0.00,0.00,4.00,10.00,8.00,22.00,4.00,2.00,4.00,2.00
TZ081,U,45922,0.00,0.00,0.00,7.00,14.00,21.00,5.00,3.00,5.00,3.00
TZ082,R,45923,1.00,5.00,6.00,5.00,3.00,20.00,3.00,4.00,3.00,4.00
TZ083,R,45924,4.00,5.00,6.00,5.00,0.00,20.00,3.00,3.00,3.00,3.00
TZ084,U,45925,11.00,1.00,5.00,3.00,0.00,20.00,2.00,1.00,1.00,1.00
TZ085,R,45926,9.00,8.00,3.00,0.00,0.00,20.00,2.00,2.00,2.00,2.00
TZ086,R,45927,2.00,8.00,6.00,6.00,0.00,22.00,3.00,3.00,3.00,4.00
TZ087,R,45928,1.00,7.00,9.00,3.00,0.00,20.00,3.00,3.00,3.00,4.00
TZ088,R,45929,2.00,6.00,10.00,1.00,0.00,19.00,3.00,3.00,3.00,3.00
TZ089,R,45930,5.00,5.00,8.00,2.00,0.00,20.00,2.00,3.00,3.00,3.00
TZ090,U,45931,0.00,0.00,2.00,10.00,6.00,18.00,4.00,2.00,4.00,2.00
TZ091,R,45932,0.00,2.00,4.00,12.00,2.00,20.00,4.00,5.00,4.00,5.00
TZ092,R,45933,6.00,6.00,3.00,3.00,0.00,18.00,2.00,3.00,2.00,2.00
TZ093,R,45934,9.00,6.00,6.00,0.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ094,U,45935,0.00,0.00,0.00,9.00,12.00,21.00,5.00,3.00,5.00,3.00
TZ095,U,45936,0.00,0.00,1.00,10.00,10.00,21.00,4.00,3.00,4.00,2.00
TZ096,U,45937,0.00,0.00,2.00,9.00,8.00,19.00,4.00,3.00,4.00,2.00
TZ097,R,45938,0.00,0.00,1.00,7.00,11.00,19.00,5.00,5.00,5.00,5.00
TZ098,R,45939,3.00,8.00,6.00,1.00,0.00,18.00,2.00,3.00,2.00,3.00
TZ099,R,45940,1.00,5.00,7.00,6.00,0.00,19.00,3.00,4.00,3.00,3.00
TZ100,R,45941,4.00,8.00,8.00,2.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ101,U,45942,0.00,0.00,0.00,9.00,12.00,21.00,5.00,3.00,5.00,3.00
TZ102,R,45943,3.00,6.00,5.00,4.00,1.00,19.00,3.00,3.00,3.00,3.00
TZ103,R,45944,1.00,2.00,10.00,5.00,3.00,21.00,3.00,4.00,3.00,4.00
TZ104,U,45945,0.00,0.00,5.00,13.00,3.00,21.00,4.00,2.00,4.00,2.00
TZ105,R,45946,3.00,7.00,7.00,3.00,0.00,20.00,3.00,3.00,3.00,3.00
TZ106,R,45947,8.00,5.00,5.00,3.00,1.00,22.00,2.00,3.00,2.00,3.00
TZ107,U,45948,0.00,1.00,1.00,3.00,16.00,21.00,5.00,3.00,5.00,3.00
TZ108,R,45949,0.00,3.00,4.00,13.00,0.00,20.00,4.00,4.00,4.00,5.00
TZ109,R,45950,1.00,7.00,10.00,0.00,0.00,18.00,3.00,3.00,3.00,3.00
TZ110,R,45951,0.00,1.00,3.00,14.00,1.00,19.00,4.00,5.00,4.00,5.00
TZ111,R,45952,0.00,13.00,4.00,0.00,0.00,17.00,2.00,3.00,2.00,3.00
TZ112,U,45953,1.00,1.00,8.00,5.00,0.00,15.00,3.00,1.00,3.00,1.00
TZ113,R,45954,1.00,6.00,7.00,6.00,1.00,21.00,3.00,4.00,3.00,3.00
TZ114,R,45955,3.00,12.00,5.00,0.00,0.00,20.00,2.00,3.00,2.00,2.00
TZ115,U,45956,0.00,1.00,2.00,6.00,10.00,19.00,4.00,3.00,5.00,3.00
TZ116,R,45957,2.00,13.00,1.00,0.00,0.00,16.00,2.00,2.00,2.00,2.00
TZ117,R,45958,6.00,6.00,6.00,1.00,0.00,19.00,2.00,3.00,2.00,3.00
TZ118,R,45959,1.00,7.00,6.00,3.00,1.00,18.00,3.00,3.00,3.00,4.00
TZ119,U,45960,0.00,0.00,0.00,8.00,11.00,19.00,5.00,3.00,5.00,3.00
TZ120,U,45961,0.00,0.00,1.00,3.00,16.00,20.00,5.00,3.00,5.00,4.00
TZ121,U,45962,2.00,2.00,5.00,10.00,1.00,20.00,3.00,1.00,4.00,1.00
TZ122,U,45963,0.00,0.00,0.00,3.00,18.00,21.00,5.00,4.00,5.00,4.00
TZ123,U,45964,0.00,0.00,0.00,5.00,17.00,22.00,5.00,3.00,5.00,3.00
TZ124,U,45965,0.00,0.00,0.00,3.00,16.00,19.00,5.00,4.00,5.00,3.00
TZ125,U,45966,0.00,0.00,0.00,1.00,17.00,18.00,5.00,4.00,5.00,4.00
TZ126,U,45967,0.00,0.00,0.00,1.00,17.00,18.00,5.00,4.00,5.00,4.00
TZ127,U,45968,0.00,0.00,0.00,4.00,14.00,18.00,5.00,4.00,5.00,4.00
TZ128,U,45969,0.00,0.00,0.00,2.00,17.00,19.00,5.00,4.00,5.00,4.00
TZ129,U,45970,0.00,0.00,0.00,4.00,12.00,16.00,5.00,4.00,5.00,4.00
TZ130,U,45971,0.00,0.00,0.00,7.00,14.00,21.00,5.00,3.00,5.00,3.00
TZ131,U,45972,0.00,0.00,0.00,0.00,13.00,13.00,5.00,4.00,5.00,5.00
TZ132,U,45973,0.00,0.00,0.00,4.00,18.00,22.00,5.00,4.00,5.00,4.00
TZ133,U,45974,0.00,0.00,0.00,3.00,19.00,22.00,5.00,4.00,5.00,4.00
TZ134,U,45975,0.00,0.00,0.00,1.00,20.00,21.00,5.00,4.00,5.00,5.00
TZ135,U,45976,0.00,0.00,0.00,6.00,14.00,20.00,5.00,4.00,5.00,4.00
TZ136,U,45977,0.00,0.00,0.00,8.00,13.00,21.00,5.00,3.00,5.00,3.00
TZ137,U,45978,0.00,0.00,0.00,0.00,22.00,22.00,5.00,4.00,5.00,4.00
TZ138,U,45979,0.00,0.00,0.00,4.00,17.00,21.00,5.00,3.00,5.00,3.00
TZ139,U,45980,0.00,0.00,0.00,1.00,16.00,17.00,5.00,4.00,5.00,4.00
TZ140,U,45981,0.00,0.00,0.00,1.00,17.00,18.00,5.00,4.00,5.00,4.00
TZ141,U,45982,0.00,0.00,0.00,2.00,12.00,14.00,5.00,4.00,5.00,4.00
TZ142,U,45983,0.00,0.00,0.00,0.00,12.00,12.00,5.00,5.00,5.00,5.00
TZ143,U,45984,0.00,0.00,0.00,1.00,21.00,22.00,5.00,4.00,5.00,5.00
TZ144,U,45985,0.00,0.00,0.00,3.00,17.00,20.00,5.00,4.00,5.00,4.00
TZ145,U,45986,0.00,0.00,0.00,7.00,12.00,19.00,5.00,3.00,5.00,3.00
TZ146,U,45987,2.00,0.00,0.00,14.00,4.00,20.00,4.00,2.00,4.00,2.00
TZ147,U,45988,0.00,0.00,0.00,4.00,18.00,22.00,5.00,4.00,5.00,4.00
TZ148,U,45989,0.00,0.00,0.00,6.00,15.00,21.00,5.00,3.00,5.00,3.00
TZ149,U,45990,0.00,0.00,0.00,3.00,18.00,21.00,5.00,3.00,5.00,3.00
TZ150,U,45991,0.00,0.00,0.00,3.00,17.00,20.00,5.00,4.00,5.00,4.00
TZ151,U,45992,0.00,0.00,0.00,0.00,16.00,16.00,5.00,5.00,5.00,5.00
TZ152,U,45993,0.00,0.00,0.00,0.00,18.00,18.00,5.00,4.00,5.00,4.00
TZ153,U,45994,0.00,0.00,0.00,0.00,12.00,12.00,5.00,4.00,5.00,4.00
TZ154,U,45995,0.00,0.00,0.00,0.00,18.00,18.00,5.00,4.00,5.00,4.00
TZ155,U,45996,0.00,0.00,0.00,5.00,15.00,20.00,5.00,3.00,5.00,4.00
TZ156,U,45997,0.00,0.00,0.00,0.00,19.00,19.00,5.00,4.00,5.00,5.00
TZ157,U,45998,0.00,0.00,0.00,5.00,14.00,19.00,5.00,3.00,5.00,3.00
TZ158,U,45999,0.00,0.00,0.00,2.00,16.00,18.00,5.00,4.00,5.00,4.00
TZ159,R,46000,1.00,2.00,8.00,7.00,1.00,19.00,3.00,4.00,3.00,4.00
TZ160,R,46001,4.00,13.00,4.00,1.00,0.00,22.00,2.00,3.00,2.00,2.00
TZ161,R,46002,7.00,11.00,2.00,0.00,0.00,20.00,2.00,2.00,2.00,2.00
TZ162,R,46003,6.00,9.00,4.00,0.00,0.00,19.00,2.00,2.00,2.00,2.00
TZ163,U,46004,4.00,3.00,2.00,4.00,7.00,20.00,3.00,2.00,4.00,2.00
TZ164,R,46005,2.00,10.00,3.00,3.00,0.00,18.00,2.00,3.00,2.00,3.00
TZ165,R,46006,0.00,1.00,4.00,8.00,7.00,20.00,4.00,5.00,4.00,5.00
TZ166,R,46007,10.00,9.00,3.00,0.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ167,R,46008,0.00,8.00,4.00,6.00,0.00,18.00,3.00,4.00,3.00,4.00
TZ168,U,46009,0.00,0.00,0.00,7.00,10.00,17.00,5.00,3.00,5.00,3.00
TZ169,R,46010,6.00,7.00,6.00,2.00,1.00,22.00,2.00,3.00,2.00,3.00
TZ170,R,46011,4.00,10.00,7.00,1.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ171,R,46012,0.00,5.00,7.00,10.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ172,R,46013,5.00,5.00,7.00,3.00,0.00,20.00,2.00,3.00,3.00,3.00
TZ173,R,46014,3.00,12.00,3.00,3.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ174,R,46015,6.00,8.00,6.00,1.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ175,U,46016,3.00,4.00,4.00,9.00,0.00,20.00,3.00,1.00,3.00,1.00
TZ176,R,46017,4.00,7.00,5.00,3.00,0.00,19.00,2.00,3.00,2.00,3.00
TZ177,R,46018,0.00,4.00,13.00,3.00,0.00,20.00,3.00,4.00,3.00,4.00
TZ178,U,46019,0.00,3.00,6.00,1.00,11.00,21.00,4.00,3.00,5.00,3.00
TZ179,U,46020,1.00,2.00,3.00,5.00,9.00,20.00,4.00,2.00,4.00,2.00
TZ180,R,46021,6.00,6.00,8.00,1.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ181,R,46022,3.00,7.00,7.00,3.00,1.00,21.00,3.00,3.00,3.00,3.00
TZ182,R,46023,0.00,11.00,6.00,2.00,1.00,20.00,3.00,3.00,2.00,3.00
TZ183,U,46024,0.00,0.00,0.00,7.00,13.00,20.00,5.00,3.00,5.00,4.00
TZ184,R,46025,4.00,12.00,2.00,3.00,0.00,21.00,2.00,3.00,2.00,2.00
TZ185,R,46026,8.00,7.00,2.00,2.00,0.00,19.00,2.00,2.00,2.00,2.00
TZ186,R,46027,6.00,7.00,5.00,2.00,0.00,20.00,2.00,3.00,2.00,3.00
TZ187,R,46028,11.00,10.00,1.00,0.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ188,R,46029,3.00,5.00,7.00,5.00,0.00,20.00,3.00,3.00,3.00,4.00
TZ189,R,46030,5.00,8.00,7.00,1.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ190,U,46031,1.00,1.00,5.00,9.00,5.00,21.00,4.00,2.00,4.00,2.00
TZ191,R,46032,1.00,11.00,6.00,3.00,0.00,21.00,3.00,3.00,2.00,3.00
TZ192,R,46033,1.00,8.00,12.00,0.00,0.00,21.00,3.00,3.00,3.00,4.00
TZ193,R,46034,4.00,11.00,2.00,0.00,0.00,17.00,2.00,3.00,2.00,3.00
TZ194,U,46035,2.00,3.00,7.00,9.00,1.00,22.00,3.00,1.00,3.00,1.00
TZ195,U,46036,0.00,0.00,1.00,4.00,17.00,22.00,5.00,3.00,5.00,4.00
TZ196,R,46037,7.00,8.00,4.00,3.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ197,R,46038,12.00,3.00,3.00,2.00,0.00,20.00,2.00,3.00,1.00,2.00
TZ198,R,46039,9.00,4.00,7.00,1.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ199,U,46040,0.00,0.00,0.00,3.00,15.00,18.00,5.00,3.00,5.00,3.00
TZ200,R,46041,3.00,4.00,4.00,5.00,0.00,16.00,3.00,3.00,3.00,3.00
